Team,Name,Conf ,Div ,W ,L ,T ,PF ,PA ,Net,TD ,Home ,Road ,Div ,Conf ,NonConf,Streak ,Last5
ari,Arizona Cardinals  ,NFC,NCW,7,2,0,302,185,117,36,3-1,4-1,2-1,5-1,2-1,3W,4-1
atl,Atlanta Falcons  ,NFC,NCS,6,3,0,229,190,39,27,3-1,3-2,0-2,4-3,2-0,2L,2-3
bal,Baltimore Ravens  ,AFC,ACN,2,7,0,210,236,-26,22,1-3,1-4,1-2,2-5,0-2,1L,1-4
buf,Buffalo Bills  ,AFC,ACE,5,4,0,231,207,24,28,2-3,3-1,3-1,5-3,0-1,2W,3-2
car,Carolina Panthers  ,NFC,NCS,9,0,0,255,175,80,29,5-0,4-0,2-0,5-0,4-0,9W,5-0
chi,Chicago Bears  ,NFC,NCN,4,5,0,199,234,-35,20,1-3,3-2,0-3,1-5,3-0,2W,3-2
cin,Cincinnati Bengals  ,AFC,ACN,8,1,0,235,152,83,28,4-1,4-0,3-0,7-1,1-0,1L,4-1
cle,Cleveland Browns  ,AFC,ACN,2,8,0,186,277,-91,20,1-3,1-5,1-2,2-6,0-2,5L,0-
dal,Dallas Cowboys  ,NFC,NCE,2,7,0,166,214,-48,16,1-4,1-3,2-2,2-6,0-1,7L,0-5
den,Denver Broncos  ,AFC,ACW,7,2,0,205,168,37,21,3-1,4-1,2-1,4-2,3-0,2L,3-2
det,Detroit Lions  ,NFC,NCN,2,7,0,167,261,-94,20,1-3,1-4,2-2,2-4,0-3,1W,2-3
gb,Green Bay Packers  ,NFC,NCN,6,3,0,219,185,34,26,4-1,2-2,1-1,4-2,2-1,3L,2-3
hou,Houston Texans  ,AFC,ACS,4,5,0,184,211,-27,22,2-2,2-3,2-1,3-3,1-2,2W,3-2
ind,Indianapolis Colts  ,AFC,ACS,4,5,0,200,227,-27,24,2-3,2-2,3-0,4-3,0-2,1W,2-3
jac,Jacksonville Jaguars  ,AFC,ACS,3,6,0,192,255,-63,22,2-2,1-4,0-2,3-4,0-2,1W,2-3
kc,Kansas City Chiefs  ,AFC,ACW,4,5,0,224,195,29,23,2-2,2-3,1-1,3-2,1-3,3W,3-2
mia,Miami Dolphins  ,AFC,ACE,4,5,0,191,225,-34,24,1-2,3-3,0-4,2-5,2-0,1W,3-2
min,Minnesota Vikings  ,NFC,NCN,7,2,0,198,154,44,19,4-0,3-2,3-0,4-1,3-1,5W,5-0
ne,New England Patriots  ,AFC,ACE,9,0,0,303,169,134,34,5-0,4-0,3-0,6-0,3-0,9W,5-0
no,New Orleans Saints  ,NFC,NCS,4,6,0,255,315,-60,33,3-2,1-4,1-2,3-5,1-1,2L,3-2
nyg,New York Giants  ,NFC,NCE,5,5,0,273,253,20,29,3-2,2-3,2-2,4-4,1-1,1L,2-3
nyj,New York Jets  ,AFC,ACE,5,4,0,217,184,33,25,3-2,2-2,1-2,4-3,1-1,1L,2-3
oak,Oakland Raiders  ,AFC,ACW,4,5,0,227,241,-14,27,2-3,2-2,1-1,4-3,0-2,2L,2-3
phi,Philadelphia Eagles  ,NFC,NCE,4,5,0,212,184,28,24,2-2,2-3,2-2,3-4,1-1,1L,3-2
pit,Pittsburgh Steelers  ,AFC,ACN,6,4,0,236,191,45,25,4-2,2-2,1-2,3-4,3-0,2W,3-2
sd,San Diego Chargers  ,AFC,ACW,2,7,0,210,249,-39,23,2-3,0-4,0-1,1-4,1-3,5L,0-5
sea,Seattle Seahawks  ,NFC,NCW,4,5,0,199,179,20,20,2-2,2-3,1-2,4-4,0-1,1L,2-3
sf,San Francisco 49ers  ,NFC,NCW,3,6,0,126,223,-97,12,3-2,0-4,0-3,2-5,1-1,1W,2-3
stl,St. Louis Rams  ,NFC,NCW,4,5,0,166,183,-17,17,3-2,1-3,3-0,3-4,1-1,2L,2-3
tb,Tampa Bay Buccaneers  ,NFC,NCS,4,5,0,191,237,-46,19,2-3,2-2,2-1,3-3,1-2,1W,3-2
ten,Tennessee Titans  ,AFC,ACS,2,7,0,169,214,-45,20,0-5,2-2,0-2,0-5,2-2,1L,1-4
was,Washington Redskins  ,NFC,NCE,4,5,0,205,209,-4,22,4-1,0-4,1-1,4-2,0-3,1W,2-3
